1, 95360
2, 94848
5, 103936
10, 105120
20, 104576
50, 100639
100, 106636
200, 106303
500, 120031
1000, 141152
2000, 143840
5000, 155008
10000, 162303
20000, 174527
50000, 477982
100000, 757565
200000, 1612218
500000, 3850257
1000000, 7606112
